topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Agriculture,Panen Pak Budi terus melimpah lan warga desa padha seneng.,Panen Pak Budi gagal lan warga desa kecewa.,"Setiap musim panen, Pak Budi nganakake syukuran ing desane",Warga desa padha kumpul lan mangan bersama,Pak Budi percaya yen syukuran iki nggawa berkah kanggo panen sing bakal datang,Tradisi iki wis dilakoni turun temurun
Art,Bocah-bocah seneng lan bangga bisa nembang kaya Sulastri.,Sulastri tetep nembang dhewe ing acara desa.,Sulastri ahli nembang tembang dolanan bocah,"Saben ana acara desa, dheweke mesthi dimintak tolong kanggo nembang",Warga desa suka banget karo suwarane sing merdu,Sulastri uga ngajar bocah-bocah desa kanggo nembang
Art,Pak Budi ora ngerti carane main gamelan.,Anak-anak ora seneng karo gamelan.,Pak Budi nggawe gamelan ing omahe,Dheweke ngajari anak-anak desa carane main gamelan,Anak-anak padha semangat lan gelem sinau,Pak Budi manggon ing desa sing akeh bakat seni
Fisheries and Trade,Pak Eko lan anak-anakne dikenal minangka keluarga sing dermawan.,Tangga-teparone ora seneng karo iwak hasil mancinge Pak Eko.,Pak Eko lan anak-anakne seneng mancing iwak ing kali,"Saben akhir pekan, dheweke lunga bareng-bareng",Hasil mancinge akeh,Iwak-uwaknya dibagi-bagi marang tangga-teparone
Death,Pembagian warisan ditampa kanthi rasa syukur lan keikhlasan.,Gito ora setuju karo keputusan musyawarah.,"Nalika bapak meninggal, Gito lan sedulur-sedulure padha musyawarah bab warisan",Warisan iku kalebu sawah lan omah,Gito lan sedulur-sedulure pengin adil ing pembagian,Musyawarah iku lumaku kanthi lancar
Art,Budi lan kanca-kancane sukses manggung ing acara wayang kulit.,Budi lan kanca-kancane gagal main gamelan amarga ora latihan.,Budi sinau main gamelan karo kanca-kancane,Dheweke latihan ing pendhapa desa,Budi pengen bisa main gamelan ing acara wayang kulit,Latihan Budi lan kanca-kancane terus maju
Fisheries and Trade,Pak Tono entuk hormat saka warga desa amarga kejujuran lan kerapian iwake.,Pak Tono ora tau ngedol iwak maneh amarga ora laku.,Pak Tono yaiku petani iwak ing desa,"Saben dina, dheweke mriksa kolam iwak kanggo mesthekake kesehatan iwak",Warga desa seneng tuku iwak saka Pak Tono amarga iwake seger,Pak Tono tansah ngedol iwak ing pasar desa saben minggu
Agriculture,Kabeh warga seneng lan ngrasa syukur bareng-bareng.,"Sawise upacara, kabeh langsung bali menyang omahe dhewe-dhewe tanpa mangan bebarengan.",Keluarga Pak Darto duwe kebiasaan unik nalika panen padi,"Saben panen, dheweke nganakake upacara slametan kanggo ngaturake rasa syukur",Para tetangga lan sanak sedulur diundang kanggo melu slametan,"Sawise upacara, kabeh padha mangan bebarengan"
Daily Activities,Perpustakaan desa dadi rame lan akeh pengunjung.,Andre lali karo buku-buku lan perpustakaan.,Andre seneng maca buku ing waktu senggang,Dheweke biasane menyang perpustakaan desa saben akhir minggu,Ana akeh buku menarik sing bisa dipinjam,Andre seringkali ngajak kanca-kancane kanggo maca bareng
Wedding,"Sawise siraman rampung, Tini dirasa luwih tenang lan siap kanggo pesta nikah.","Sawise siraman rampung, Tini langsung ganti busana lan mangkat menyang pesta.",Keluarga Tini sibuk nyiapake acara siraman,Siraman minangka ritual penting ing budaya Javanese sadurunge pesta nikah,Tini nganggo pakaian tradisional lan dihiasi kembang melati,Ibu lan sedulur-sedulure ngerawuhi upacara iki
Traditional Games,Bagus akhirnya bisa nguber Agung lan menang.,Agung malah tiba lan ora bisa nerusake dolanan.,Agung lan Bagus dolanan engklek ing tengah sawah,Agung luwih cepet mlumpat tinimbang Bagus,Bagus ngupayakake supaya bisa nguber Agung,"Nanging, Agung terus mlumpat kanthi lincah"
Fisheries and Trade,Pak Min bisa adol lele-lelene menyang pasar lan entuk bathi sing akeh.,Pak Min nglampahi kabeh lele-lele lan ora entuk apa-apa.,Pak Min nandur iwak lele ing kolam cilik ing pekarangane,Saben dina dheweke mbedhah iwake nganggo pakan sing apik,Dheweke uga ndandani kolam supaya tetep resik lan ora ana bocor,Pak Min ngarep-arep panen lele sing akeh lan sehat
Socio-religious aspect of life,Ani dadi contoh kanggo generasi muda.,Ani ora pengen melu acara desa maneh.,Ani seneng banget karo budaya gotong royong,Ani ajeg melu acara bersih desa,Ani ngajak kancane kanggo melu bersih desa,Ani rumangsa bangga bisa mbantu desane
Socio-religious aspect of life,Ratna dadi ahli nembang macapat lan sering tampil ing acara adat.,Ratna ora ngerti carane nembang macapat.,Ratna sinau nembang macapat saka simbah,Macapat iku salah sawijining bentuk puisi tradisional Jawa,Ratna seneng nembang lan nguri-uri kabudayan Jawa,Simbah mbantu Ratna ngerti makna saben tembang
Daily Activities,Toni uga ajeg ngajak kanca-kancane numpak sepeda bareng.,Toni mutusake kanggo numpak bis sekolah amarga luwih cepet.,Toni seneng numpak sepeda menyang sekolah,Saben dina Toni numpak sepeda liwat dalan desa sing sepi,Toni seneng merga bisa olah raga lan ngirit biaya transportasi,Toni mesthi tekan sekolah kanthi semangat
Pregnancy and Kids,Dewi lan keluargane ngalami upacara mitoni kanthi lancar.,Dewi ora nindakake upacara mitoni amarga ora percaya adat.,Dewi lagi ngandhut telung wulan,"Miturut adat Jawa, Dewi kudu nindakake upacara mitoni",Mitoni iku upacara adat sing ditindakake ing wulan kapitu kehamilan,Dewi lan keluargane lagi nyiapake upacara mitoni
Daily Activities,Wulan malah ora ana beras ing omah.,Wulan masak sega liwet kanthi apik.,Wulan arep masak sega liwet,Wulan nyiapake bahan-bahane,Wulan njupuk alat-alat masak ing pawon,Wulan seneng karo masak panganan tradisional
Traditional Games,Rina lan Tono seneng bisa dolanan bareng lan nambah kawruh bab egrang.,Rina lan Tono padha njaluk pertolongan guru amarga ora bisa dolanan egrang.,Rina lan Tono dolanan egrang ing pekarangan sekolah,Egrang iku mainan tradisional sing mbutuhake keseimbangan,Tono mbantu Rina supaya bisa lancar dolanan egrang,Rina banjur bisa mlaku kanthi lancar nganggo egrang
Pregnancy and Kids,Mitoni rampung kanthi lancar lan kabeh wong seneng.,Mitoni rampung kanthi kuciwa amarga ora ana sing teka.,"Ana tradhisi ""Mitoni"" kanggo wanita hamil ing desa Kuto",Mitoni dilakoni nalika kehamilan mlebu wulan kapitu,Keluarga lan tangga teparo padha kumpul kanggo ndedonga lan ngucap syukur,"Biasane, ana bancakan lan dolanan tradisional"
Agriculture,Warga desa lali nindakake upacara lan panene gagal.,Warga desa seneng amarga panene akeh lan upacara lancar.,"Sakdurunge panen padi, warga desa nindakake upacara sedhekah bumi",Upacara iki minangka rasa syukur marang Gusti Allah kanggo bumi lan panen sing apik,Warga desa padha kumpul lan nyawisake panganan tradisional,Upacara iki uga kanggo njaga harmoni ing desa
Family Relationships,Keluarga Andi tetep rukun lan kompak.,Keluarga Andi dadi renggang lan ora akrab maneh.,"Setiap minggu, keluarga Andi ngumpul kanggo makan malam bersama",Kegiatan iki wis dadi tradisi turun-temurun,"Ing acara iki, kabeh anggota keluarga ngobrol lan berbagi cerita",Suasana dadi hangat lan akrab
Death,Bu Tini ngatur acara tahlilan saben malam nganti pitung dina.,Bu Tini langsung ngunci omahe lan ora nindakake kenduren.,"Sakwise pemakaman, warga desa nglumpuk ing omahe Bu Tini",Kabeh padha nyumbang panganan kanggo kenduren,Bu Tini lan keluargane nyiapake sesajen kanggo arwah sing tilar donya,Kenduren iki minangka wujud rasa syukur lan doa kanggo arwah
Agriculture,Warga desa ngrasakake kebersamaan lan bisa nggawe masakan saka sayuran sing dipanen.,Sayuran sing dipanen Mbok Minah kabeh layu lan ora bisa dimasak.,Mbok Minah nandur sayuran ing kebone,"Setiap dina, Mbok Minah ngurus kebone kanthi telaten",Sayuran thukul subur lan seger,Mbok Minah ngundang warga desa kanggo panen bebarengan
Family Relationships,Rina ngerti pentinge pasar tradisional lan tetep nguri-uri tradisi iki.,Rina ora seneng dolan menyang pasar tradisional.,Rina lan ibune dolan menyang pasar tradisional,"Ing pasar, akeh pedagang sing wis kenal karo ibune",Ibune tansah ngajari Rina cara tawar-menawar,Rina seneng banget dolan menyang pasar tradisional
Family Relationships,Yuda rumangsa legawa lan seneng bisa mbales budi marang wong tuwane.,Wong tuwane Yuda malah dadi lara maneh.,Yuda duwe tanggung jawab kanggo ngurus wong tuwa sing wis sepuh,Sedulur-sedulure ora ana sing gelem nulungi,Yuda kudu ninggalake pakaryan,Wong tuwane dadi luwih sehat amarga perawatan Yuda
Wedding,Panganan dipangan nganti entek dening para tamu.,Panganan ditinggal amarga ora enak.,"Sawise upacara pernikahan, tamu-tamu diajak mangan","Ana panganan tradisional kaya tumpeng, sate, lan jenang",Wong-wong padha seneng mangan bareng-bareng,Panganan iku minangka simbol rasa syukur
Socio-religious aspect of life,Mula Pak Slamet diundang kanggo mulang babagan obat tradisional ing sekolah-sekolah.,Mula Pak Slamet ora tau diajak ngomong karo warga desa.,Pak Slamet iku wong sing ahli obat tradisional,Dheweke kerep nulungi warga desa sing lara nganggo ramuan alami,Pak Slamet ngerti banget babagan tanduran obat lan cara nggawene,Warga desa padha percaya karo keahliane
Daily Activities,Pak Slamet ditresnani kabeh warga desane.,Pak Slamet mung seneng mlaku-mlaku tanpa tujuan.,"Dina saben esuk, Pak Slamet mesthi mlaku-mlaku ing sawah",Dheweke mesthi nggawa cangkriman kanggo nyengkuyung petani liyane,Kabeh wong seneng karo kepribadian Pak Slamet sing ramah,Pak Slamet uga ajeg ngunjungi tetangga sawise kerja
Socio-religious aspect of life,Darto ngerti yen slametan nggawe urip luwih harmonis.,Darto ora seneng slametan amarga repot.,Darto lan kanca-kancane kerep ngadani slametan,Slametan kuwi bagéan saka tradisi kampungé,Wong-wong padha nggawa panganan lan doa bebarengan,Wong kampung seneng slametan amarga bisa njaga kerukunan
Death,Pak Slamet dipundhut lan dikubur kanthi adat Jawa.,Kabeh wong bali menyang omah kanthi rasa seneng.,Pak Slamet wis tilar donya,Keluarga lan tanggane padha rawuh kanggo ngaturake bela sungkawa,Wong-wong padha makarya kanggo ngurusi panguburan Pak Slamet,Kabeh padha nganggo busana ireng kanggo nuduhake rasa duka
Wedding,Tamu-tamu kagum karo dekorasi lan omah gedhe kasebut.,Tamu ora seneng karo lokasi pesta pernikahan.,Lokasi pesta pernikahan ing omah gedhe tradisional,Omah iki dihias nganggo janur lan kembang,Tamu teka nganggo busana adat,Pesta pernikahan wiwit
Fisheries and Trade,Pak Budi ngajak warga desa kanggo kerja bareng ing tambake.,Pak Budi mutusake kanggo nutup usaha tambake.,Pak Budi duwe usaha tambak lele,"Saben dina, Pak Budi mriksa tambake lan menehi pakan iwak",Dheweke ngerti yen iwake saya akeh lan sehat,Pak Budi mutusake kanggo nambah jumlah tambake
Agriculture,Panen pari Pak Bambang tansah melimpah saben taun.,Pak Bambang ora tau sukses ing tandur pari.,Pak Bambang minangka petani sing sukses ing desane,Saben taun dheweke tansah ngadani upacara wiwitan sadurunge nandur pari,Upacara iki minangka wujud rasa syukur marang Gusti,Wong-wong desa padha melu lan mbantu Pak Bambang
Death,Anak-anak Pak Joko urip rukun lan saling tulung.,Anak-anak Pak Joko langsung rebutan warisan.,Pak Joko nemtokake warisan kanggo anak-anak,Pak Joko arep ninggalake ladang lan omah kanggo anak sulung,Anak-anak padha setuju karo putusan Pak Joko,Kabeh padha ngormati keputusan bapake
Art,Dheweke diajak tampil ing festival budaya sabanjure.,Dheweke mutusake kanggo mandheg nari jaranan.,Budi seneng banget nari jaranan,"Saben minggu, dheweke mesthi latihan ing balai desa",Budi pengin nambah kemampuane supaya bisa tampil ing festival desa,Budi latihan kanthi tekun lan disiplin
Fisheries and Trade,Rina lan Rini diajari carane nego harga kanthi apik.,Rina lan Rini luwih seneng dolanan tinimbang mbantu ibu.,Rina lan Rini mbantu ibune adol iwak ing pasar,"Saben dina, dheweke nyiapake iwak kanthi rapih supaya pelanggan seneng",Tradisi iki wis ditindakake turun-temurun,Pasar dadi rame karo swara tawar-menawar
Daily Activities,Yuni malah ngantuk lan turu.,Yuni malah nulis buku saka crita simbah.,Yuni dolan menyang omah simbah,Yuni seneng ngobrol karo simbah,Simbah sering crita babagan jaman biyen,Yuni ngrungokake crita kanthi semangat
Food,Keluargane Edo seneng banget karo jenang kudus.,Edo ora seneng karo jenang kudus lan mbuwang kabeh.,Edo tuku jenang kudus kanggo oleh-oleh,Jenang kudus iku panganan manis khas Kudus sing digawé saka ketan,Edo mangan siji jenang kudus sadurunge mulih,Edo nggawa jenang kudus menyang omah
Pregnancy and Kids,Brokohan dilakoni kanthi mangan ing omah Ardi.,Brokohan dilakoni kanthi nonton wayang kulit.,Bayi Ardi lahir kanthi selamat,"Sakwise lahiran, keluarga Ardi nindakake tradisi brokohan",Tradisi iki kanggo ngucapke syukur lan njaluk berkah,Warga sekitar diundang kanggo mangan bareng
Wedding,Upacara midodareni rampung kanthi lancar lan khidmat.,Wong tuwa Sari lan Bimo ora setuju nindakake upacara midodareni.,Sari lan Bimo lagi nindakake upacara adat midodareni,Midodareni iku tradisi kanggo nyiapake manten,Wong tuwa Sari lan Bimo nindakake upacara iki kanthi serius,Wong-wong padha ngumpul lan ngarepake berkah
Pregnancy and Kids,Rina lan bayine tetep sehat lan selamat nganti lair.,Rina ora nampa banyu kembang kanggo ngumbah tangan.,Rina wis hamil lan siap ngadhepi wulan kaping pitu,Ibu-ibu desa nganakake acara mitoni kanggo Rina,"Ing acara, Rina diwenehi banyu kembang kanggo ngumbah tangan",Rina matur nuwun marang kabeh sing rawuh
Socio-religious aspect of life,Mas Andi tansah dirubung pembeli.,Wong-wong desa ora percaya karo jamu Mas Andi.,Mas Andi iku tukang jamu keliling,"Saben esuk, Mas Andi muter desa adol jamu",Wong-wong desa seneng karo jamu racikan Mas Andi,Jamu Mas Andi dipercaya bisa nambah stamina lan kesehatan
Pregnancy and Kids,Kabeh seneng lan ngelingi masa kanak-kanak.,Simbah ora iso teka amarga lara.,Dina iki arisan keluarga besar,Wong-wong padha kumpul ing omahe Simbah,Simbah nggawa jenang abang kanggo acara iki,Jenang abang iku tradisi sing ora tau ilang
